nonfluent: MAXCAP[$t1],nonfluent: MAXCAP[$t2],nonfluent: MAXCAP[$t3],nonfluent: MAXCAP[$t4],nonfluent: MAXCAP[$sea],nonfluent: RAIN[$t1],nonfluent: RAIN[$t2],nonfluent: RAIN[$t3],nonfluent: RAIN[$t4],nonfluent: RAIN[$sea],nonfluent: DOWNSTREAM[$t1| $t1],nonfluent: DOWNSTREAM[$t1| $t2],nonfluent: DOWNSTREAM[$t1| $t3],nonfluent: DOWNSTREAM[$t1| $t4],nonfluent: DOWNSTREAM[$t1| $sea],nonfluent: DOWNSTREAM[$t2| $t1],nonfluent: DOWNSTREAM[$t2| $t2],nonfluent: DOWNSTREAM[$t2| $t3],nonfluent: DOWNSTREAM[$t2| $t4],nonfluent: DOWNSTREAM[$t2| $sea],nonfluent: DOWNSTREAM[$t3| $t1],nonfluent: DOWNSTREAM[$t3| $t2],nonfluent: DOWNSTREAM[$t3| $t3],nonfluent: DOWNSTREAM[$t3| $t4],nonfluent: DOWNSTREAM[$t3| $sea],nonfluent: DOWNSTREAM[$t4| $t1],nonfluent: DOWNSTREAM[$t4| $t2],nonfluent: DOWNSTREAM[$t4| $t3],nonfluent: DOWNSTREAM[$t4| $t4],nonfluent: DOWNSTREAM[$t4| $sea],nonfluent: DOWNSTREAM[$sea| $t1],nonfluent: DOWNSTREAM[$sea| $t2],nonfluent: DOWNSTREAM[$sea| $t3],nonfluent: DOWNSTREAM[$sea| $t4],nonfluent: DOWNSTREAM[$sea| $sea],nonfluent: HIGH_BOUND[$t1],nonfluent: HIGH_BOUND[$t2],nonfluent: HIGH_BOUND[$t3],nonfluent: HIGH_BOUND[$t4],nonfluent: HIGH_BOUND[$sea],nonfluent: LOW_BOUND[$t1],nonfluent: LOW_BOUND[$t2],nonfluent: LOW_BOUND[$t3],nonfluent: LOW_BOUND[$t4],nonfluent: LOW_BOUND[$sea],action: flow[$t1],action: flow[$t2],action: flow[$t3],action: flow[$t4],action: flow[$sea],states: rlevel[$t1],states: rlevel[$t2],states: rlevel[$t3],states: rlevel[$t4],states: rlevel[$sea]
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,19.80894247257633,14.311249017288572,26.572665146432474,4.833580235455907,0.0,75.0,50.0,50.0,50.0,50.0
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,14.039585894046386,30.8056317916438,10.779146477157354,36.61393381484995,0.0,60.191057527423666,65.49769345528776,57.738583870856104,101.73908491097656,59.833580235455905
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,1.131055299747119,16.878768515333185,48.418776849420865,61.872940657580266,0.0,51.151471633377284,58.73164755769034,97.76506918534255,105.90429757328394,101.44751405030587
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,33.19972537242639,14.83200574791718,8.82049963612586,38.30413669197185,0.0,55.020416333630166,52.98393434210427,86.22506085125488,122.45013376512453,168.32045470788614
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,0.583737429394553,49.84731041304828,56.6317819047394,75.50723490788533,0.0,26.820690961203773,81.35165396661348,112.2365669630462,122.96649670927853,211.624591399858
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,1.5923087041372188,10.750083797341283,17.585638412893307,27.096079615601393,0.0,31.23695353180922,42.08808098295976,125.45209547135507,134.0910437061326,292.1318263077433
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,0.3586030829252059,5.498620886004189,45.29479576956777,64.18377472602789,0.0,34.644644827672,42.930305889755694,138.61654085580304,154.58060250342453,324.22790592334474
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,11.888555058982398,22.989791095411338,32.73902805421948,64.06776000602251,0.0,39.2860417447468,47.79028808667671,118.82036597223946,165.69162354696442,393.4116806493726
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,9.375960118897183,1.7294466741849404,60.98587979995792,107.47298476562443,0.0,32.3974866857644,46.689052050247774,129.07112901343132,164.3628915951614,462.47944065539514
100.0,200.0,400.0,500.0,10000.0,5.0,10.0,20.0,30.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80.0,180.0,380.0,480.0,8000.0,20.0,20.0,20.0,20.0,20.0,5.685662846027436,25.573574390836,40.87328924888806,3.7889642334987474,0.0,28.021526566867216,64.33556549496001,89.81469588765833,147.87578662949488,574.9524254210196
